Ambito,Tipo,Valor Ambito,Tipo Ambito,Numero Clase,Parametro

globalVariable Global,int,,Variable Global,Variable,Variable

globalVariable,int,,Variable Global,Variable,Variable

globalVariable,double,,Variable Global,Variable,Variable

perimeter,double,,Variable Global,Variable Global,Variable

CalculatePerimeter,void,,Variable,Variable Global,Variable

sideA,int,,Variable,Variable Global,Variable Global

sideB,int,,Variable,Variable Global,Variable Global

perimeter,double,,Variable,Variable Global,Variable

CalculateArea,double,,Variable,Variable Global,Variable

sideA,int,,Variable,Variable Global,Variable Global

sideB,int,,Variable,Variable Global,Variable Global

area,double,,Variable,Variable Global,Variable

ReturnSumSides,int,,Variable,Variable Global,Variable

sideA,int,,Variable,Variable Global,Variable Global

sideB,int,,Variable,Variable Global,Variable Global

sum,int,,Variable,Variable Global,Variable

sum,int,sideAsideB,Variable,Variable Global,Variable

Rectangule,class,,Variable,Variable Global,Variable

